latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.493847,-0.1630249,1.0,3600,Europe/London,GMT+1

time,temperature_2m (°C),precipitation (mm),rain (mm),snowfall (cm),wind_speed_10m (km/h),wind_gusts_10m (km/h),cloud_cover (%)
2025-03-30T07:00,10.4,0.00,0.00,0.00,13.3,31.7,86
2025-03-30T08:00,10.1,0.00,0.00,0.00,13.1,29.9,75
2025-03-30T09:00,10.6,0.00,0.00,0.00,15.0,36.0,85
2025-03-30T10:00,11.7,0.00,0.00,0.00,20.0,46.4,57
2025-03-30T11:00,12.4,0.00,0.00,0.00,16.2,47.5,33
2025-03-30T12:00,13.6,0.00,0.00,0.00,17.1,45.4,29
2025-03-30T13:00,14.4,0.00,0.00,0.00,16.8,43.2,25
2025-03-30T14:00,15.7,0.00,0.00,0.00,15.9,42.5,2
2025-03-30T15:00,16.0,0.00,0.00,0.00,16.5,42.5,0
2025-03-30T16:00,16.0,0.00,0.00,0.00,16.2,42.1,0
2025-03-30T17:00,15.7,0.00,0.00,0.00,16.0,41.0,0
2025-03-30T18:00,14.9,0.00,0.00,0.00,15.5,40.0,0
2025-03-30T19:00,13.9,0.00,0.00,0.00,13.2,37.8,1
2025-03-30T20:00,12.5,0.00,0.00,0.00,11.8,31.3,0
2025-03-30T21:00,11.5,0.00,0.00,0.00,10.8,26.3,0
2025-03-30T22:00,10.5,0.00,0.00,0.00,9.6,23.8,0
2025-03-30T23:00,9.7,0.00,0.00,0.00,9.4,19.8,13
2025-03-31T00:00,9.0,0.00,0.00,0.00,9.5,19.1,1
2025-03-31T01:00,8.4,0.00,0.00,0.00,8.6,19.1,3
2025-03-31T02:00,8.3,0.00,0.00,0.00,7.2,15.8,3
2025-03-31T03:00,7.7,0.00,0.00,0.00,6.1,13.7,2
2025-03-31T04:00,7.2,0.00,0.00,0.00,2.0,10.8,10
2025-03-31T05:00,6.9,0.00,0.00,0.00,2.5,6.1,0
2025-03-31T06:00,6.2,0.00,0.00,0.00,2.2,5.4,0
2025-03-31T07:00,6.0,0.00,0.00,0.00,3.5,5.4,2
2025-03-31T08:00,6.6,0.00,0.00,0.00,5.0,9.7,20
2025-03-31T09:00,8.3,0.00,0.00,0.00,3.1,11.2,35
2025-03-31T10:00,10.2,0.00,0.00,0.00,4.9,16.2,60
2025-03-31T11:00,11.8,0.00,0.00,0.00,4.6,17.6,33
2025-03-31T12:00,13.3,0.00,0.00,0.00,3.8,16.9,23
2025-03-31T13:00,14.5,0.00,0.00,0.00,5.3,19.8,9
2025-03-31T14:00,16.0,0.00,0.00,0.00,6.8,22.7,42
2025-03-31T15:00,16.4,0.00,0.00,0.00,6.2,22.7,89
2025-03-31T16:00,16.4,0.00,0.00,0.00,7.0,22.3,80
2025-03-31T17:00,16.2,0.00,0.00,0.00,7.6,23.0,49
2025-03-31T18:00,15.2,0.00,0.00,0.00,9.0,24.5,10
2025-03-31T19:00,13.6,0.00,0.00,0.00,9.9,25.2,6
2025-03-31T20:00,11.8,0.00,0.00,0.00,10.3,24.8,11
2025-03-31T21:00,10.3,0.00,0.00,0.00,10.8,24.5,2
2025-03-31T22:00,9.0,0.00,0.00,0.00,10.3,25.2,1
2025-03-31T23:00,8.2,0.00,0.00,0.00,10.0,23.0,3
2025-04-01T00:00,7.6,0.00,0.00,0.00,10.1,22.3,27
2025-04-01T01:00,7.0,0.00,0.00,0.00,9.8,22.7,0
2025-04-01T02:00,6.6,0.00,0.00,0.00,10.8,24.5,0
2025-04-01T03:00,6.2,0.00,0.00,0.00,10.6,23.0,0
2025-04-01T04:00,5.9,0.00,0.00,0.00,10.1,22.3,0
2025-04-01T05:00,5.6,0.00,0.00,0.00,10.3,21.2,8
2025-04-01T06:00,5.5,0.00,0.00,0.00,10.9,22.3,11
2025-04-01T07:00,5.5,0.00,0.00,0.00,11.0,23.0,1
2025-04-01T08:00,6.5,0.00,0.00,0.00,12.5,28.4,19
2025-04-01T09:00,8.2,0.00,0.00,0.00,14.1,33.8,62
2025-04-01T10:00,9.8,0.00,0.00,0.00,13.2,33.8,28
2025-04-01T11:00,11.0,0.00,0.00,0.00,14.6,37.8,1
2025-04-01T12:00,12.0,0.00,0.00,0.00,15.7,40.7,0
2025-04-01T13:00,12.6,0.00,0.00,0.00,16.3,42.5,0
2025-04-01T14:00,13.8,0.00,0.00,0.00,17.4,45.0,0
2025-04-01T15:00,13.6,0.00,0.00,0.00,17.6,46.1,0
2025-04-01T16:00,13.3,0.00,0.00,0.00,18.6,46.8,0
2025-04-01T17:00,12.7,0.00,0.00,0.00,19.7,48.2,0
2025-04-01T18:00,11.7,0.00,0.00,0.00,19.8,49.3,0
2025-04-01T19:00,10.7,0.00,0.00,0.00,17.4,47.2,0
2025-04-01T20:00,9.9,0.00,0.00,0.00,15.5,40.3,0
2025-04-01T21:00,9.3,0.00,0.00,0.00,15.0,36.0,0
2025-04-01T22:00,9.1,0.00,0.00,0.00,13.7,34.2,0
2025-04-01T23:00,8.9,0.00,0.00,0.00,13.2,31.0,0
2025-04-02T00:00,9.0,0.00,0.00,0.00,13.2,29.2,0
2025-04-02T01:00,8.9,0.00,0.00,0.00,12.7,28.8,0
2025-04-02T02:00,8.7,0.00,0.00,0.00,13.1,29.9,0
2025-04-02T03:00,8.3,0.00,0.00,0.00,12.2,28.1,0
2025-04-02T04:00,8.0,0.00,0.00,0.00,12.0,26.3,0
2025-04-02T05:00,7.7,0.00,0.00,0.00,11.7,25.6,0
2025-04-02T06:00,7.4,0.00,0.00,0.00,13.4,28.8,0
2025-04-02T07:00,7.4,0.00,0.00,0.00,13.9,30.6,0
2025-04-02T08:00,8.3,0.00,0.00,0.00,12.6,33.1,0
2025-04-02T09:00,9.8,0.00,0.00,0.00,14.5,33.5,0
2025-04-02T10:00,11.2,0.00,0.00,0.00,16.4,40.3,0
2025-04-02T11:00,12.4,0.00,0.00,0.00,17.7,44.3,0
2025-04-02T12:00,13.3,0.00,0.00,0.00,19.8,49.3,0
2025-04-02T13:00,13.8,0.00,0.00,0.00,20.8,51.8,36
2025-04-02T14:00,15.8,0.00,0.00,0.00,21.1,52.2,11
2025-04-02T15:00,16.0,0.00,0.00,0.00,22.1,54.4,22
2025-04-02T16:00,15.7,0.00,0.00,0.00,21.5,54.7,0
2025-04-02T17:00,15.1,0.00,0.00,0.00,20.3,52.2,0
2025-04-02T18:00,14.0,0.00,0.00,0.00,19.1,49.3,0
2025-04-02T19:00,13.0,0.00,0.00,0.00,15.6,44.6,3
2025-04-02T20:00,12.1,0.00,0.00,0.00,15.9,37.4,0
2025-04-02T21:00,11.5,0.00,0.00,0.00,15.1,36.7,0
2025-04-02T22:00,11.1,0.00,0.00,0.00,14.6,34.2,0
2025-04-02T23:00,10.9,0.00,0.00,0.00,15.3,33.8,0
2025-04-03T00:00,10.9,0.00,0.00,0.00,15.5,34.6,0
2025-04-03T01:00,10.8,0.00,0.00,0.00,15.1,34.6,0
2025-04-03T02:00,10.1,0.00,0.00,0.00,14.0,31.0,7
2025-04-03T03:00,9.9,0.00,0.00,0.00,13.5,30.2,6
2025-04-03T04:00,9.6,0.00,0.00,0.00,12.6,29.2,0
2025-04-03T05:00,9.3,0.00,0.00,0.00,12.4,27.0,0
2025-04-03T06:00,9.0,0.00,0.00,0.00,12.0,26.3,0
2025-04-03T07:00,8.9,0.00,0.00,0.00,12.3,25.9,0
2025-04-03T08:00,9.8,0.00,0.00,0.00,10.0,27.0,0
2025-04-03T09:00,11.4,0.00,0.00,0.00,12.4,29.5,0
2025-04-03T10:00,13.1,0.00,0.00,0.00,12.5,32.4,0
2025-04-03T11:00,14.7,0.00,0.00,0.00,13.1,34.2,0
2025-04-03T12:00,16.0,0.00,0.00,0.00,14.0,37.1,0
2025-04-03T13:00,17.0,0.00,0.00,0.00,14.2,37.8,15
2025-04-03T14:00,18.5,0.00,0.00,0.00,16.9,43.9,21
2025-04-03T15:00,18.7,0.00,0.00,0.00,15.9,43.6,19
2025-04-03T16:00,18.5,0.00,0.00,0.00,16.6,42.1,100
2025-04-03T17:00,17.4,0.00,0.00,0.00,15.8,42.5,100
2025-04-03T18:00,16.3,0.00,0.00,0.00,14.8,39.2,100
2025-04-03T19:00,15.4,0.00,0.00,0.00,10.6,35.3,96
2025-04-03T20:00,14.6,0.00,0.00,0.00,10.4,25.2,100
2025-04-03T21:00,14.0,0.00,0.00,0.00,11.3,24.5,99
2025-04-03T22:00,13.6,0.00,0.00,0.00,11.1,27.7,97
2025-04-03T23:00,13.1,0.00,0.00,0.00,9.8,25.2,91
2025-04-04T00:00,12.8,0.00,0.00,0.00,8.7,20.5,44
2025-04-04T01:00,12.3,0.00,0.00,0.00,8.4,18.0,57
2025-04-04T02:00,11.4,0.00,0.00,0.00,9.0,18.0,99
2025-04-04T03:00,11.0,0.00,0.00,0.00,8.8,18.0,100
2025-04-04T04:00,10.8,0.00,0.00,0.00,9.2,18.7,100
2025-04-04T05:00,10.6,0.00,0.00,0.00,9.8,19.8,96
2025-04-04T06:00,10.3,0.00,0.00,0.00,10.7,22.3,100
2025-04-04T07:00,10.2,0.00,0.00,0.00,10.1,22.3,100
2025-04-04T08:00,10.8,0.00,0.00,0.00,9.2,22.0,100
2025-04-04T09:00,12.1,0.00,0.00,0.00,8.9,20.9,84
2025-04-04T10:00,14.4,0.00,0.00,0.00,10.0,26.3,87
2025-04-04T11:00,16.7,0.00,0.00,0.00,11.5,30.2,84
2025-04-04T12:00,18.6,0.00,0.00,0.00,13.6,35.3,71
2025-04-04T13:00,19.6,0.00,0.00,0.00,14.2,37.4,10
2025-04-04T14:00,21.4,0.00,0.00,0.00,15.5,40.7,38
2025-04-04T15:00,21.5,0.00,0.00,0.00,16.1,41.4,12
2025-04-04T16:00,21.1,0.00,0.00,0.00,16.3,41.8,36
2025-04-04T17:00,20.3,0.00,0.00,0.00,16.3,41.4,80
2025-04-04T18:00,19.1,0.00,0.00,0.00,15.0,40.3,94
2025-04-04T19:00,17.8,0.00,0.00,0.00,14.5,36.7,97
2025-04-04T20:00,16.2,0.00,0.00,0.00,15.5,37.8,92
2025-04-04T21:00,14.6,0.00,0.00,0.00,13.9,37.1,82
2025-04-04T22:00,13.3,0.00,0.00,0.00,13.5,33.5,0
2025-04-04T23:00,12.0,0.00,0.00,0.00,14.3,33.8,0
2025-04-05T00:00,10.8,0.00,0.00,0.00,14.2,34.6,0
2025-04-05T01:00,9.9,0.00,0.00,0.00,13.8,33.5,0
2025-04-05T02:00,9.2,0.00,0.00,0.00,14.6,33.1,0
2025-04-05T03:00,8.7,0.00,0.00,0.00,14.6,33.1,0
2025-04-05T04:00,8.2,0.00,0.00,0.00,13.8,32.8,0
2025-04-05T05:00,7.5,0.00,0.00,0.00,14.7,32.0,0
2025-04-05T06:00,6.9,0.00,0.00,0.00,14.5,32.4,0
2025-04-05T07:00,6.6,0.00,0.00,0.00,14.4,32.4,0
2025-04-05T08:00,7.2,0.00,0.00,0.00,12.1,31.7,0
2025-04-05T09:00,8.9,0.00,0.00,0.00,12.4,31.0,0
2025-04-05T10:00,10.9,0.00,0.00,0.00,13.0,33.1,0
2025-04-05T11:00,13.1,0.00,0.00,0.00,12.7,34.2,0
2025-04-05T12:00,15.1,0.00,0.00,0.00,13.3,35.6,0
2025-04-05T13:00,16.4,0.00,0.00,0.00,15.5,40.3,0
2025-04-05T14:00,17.9,0.00,0.00,0.00,17.7,45.4,0
2025-04-05T15:00,17.7,0.00,0.00,0.00,17.9,46.1,0
2025-04-05T16:00,17.1,0.00,0.00,0.00,17.5,45.7,0
2025-04-05T17:00,16.2,0.00,0.00,0.00,17.7,44.6,0
2025-04-05T18:00,14.8,0.00,0.00,0.00,17.8,44.3,0
2025-04-05T19:00,13.1,0.00,0.00,0.00,18.0,43.2,0
2025-04-05T20:00,11.4,0.00,0.00,0.00,17.9,42.1,1
2025-04-05T21:00,9.9,0.00,0.00,0.00,16.6,41.0,7
2025-04-05T22:00,8.8,0.00,0.00,0.00,15.2,37.8,0
2025-04-05T23:00,8.2,0.00,0.00,0.00,15.6,37.4,0
2025-04-06T00:00,7.8,0.00,0.00,0.00,14.2,36.0,0
2025-04-06T01:00,7.4,0.00,0.00,0.00,13.3,32.4,0
2025-04-06T02:00,6.6,0.00,0.00,0.00,13.4,31.3,0
2025-04-06T03:00,6.4,0.00,0.00,0.00,13.0,29.9,0
2025-04-06T04:00,6.4,0.00,0.00,0.00,13.0,28.4,14
2025-04-06T05:00,6.4,0.00,0.00,0.00,12.6,28.4,8
2025-04-06T06:00,6.4,0.00,0.00,0.00,12.5,27.4,0
2025-04-06T07:00,6.4,0.00,0.00,0.00,13.2,28.4,0
2025-04-06T08:00,7.4,0.00,0.00,0.00,10.7,29.9,4
2025-04-06T09:00,9.1,0.00,0.00,0.00,13.8,33.1,0
2025-04-06T10:00,10.8,0.00,0.00,0.00,14.5,36.7,0
2025-04-06T11:00,12.1,0.00,0.00,0.00,14.9,38.5,0
2025-04-06T12:00,13.2,0.00,0.00,0.00,15.3,40.3,0
2025-04-06T13:00,13.8,0.00,0.00,0.00,15.1,40.7,0
2025-04-06T14:00,15.3,0.00,0.00,0.00,14.3,39.6,0
2025-04-06T15:00,15.3,0.00,0.00,0.00,14.3,38.9,0
2025-04-06T16:00,14.9,0.00,0.00,0.00,14.6,38.5,0
2025-04-06T17:00,14.0,0.00,0.00,0.00,14.9,38.9,0
2025-04-06T18:00,12.7,0.00,0.00,0.00,15.7,38.9,0
2025-04-06T19:00,11.2,0.00,0.00,0.00,15.2,39.2,0
2025-04-06T20:00,10.0,0.00,0.00,0.00,13.2,36.0,0
2025-04-06T21:00,9.2,0.00,0.00,0.00,11.9,30.6,0
2025-04-06T22:00,8.6,0.00,0.00,0.00,11.9,28.8,0
2025-04-06T23:00,8.0,0.00,0.00,0.00,10.8,28.4,0
2025-04-07T00:00,7.4,0.00,0.00,0.00,10.5,24.8,0
2025-04-07T01:00,6.9,0.00,0.00,0.00,10.0,23.0,0
2025-04-07T02:00,5.9,0.00,0.00,0.00,10.1,22.0,0
2025-04-07T03:00,5.5,0.00,0.00,0.00,10.0,21.2,0
2025-04-07T04:00,5.1,0.00,0.00,0.00,9.6,20.5,0
2025-04-07T05:00,4.7,0.00,0.00,0.00,9.6,19.4,0
2025-04-07T06:00,4.3,0.00,0.00,0.00,9.4,19.8,0
2025-04-07T07:00,4.3,0.00,0.00,0.00,9.0,19.1,0
2025-04-07T08:00,5.4,0.00,0.00,0.00,6.6,18.4,0
2025-04-07T09:00,7.4,0.00,0.00,0.00,7.5,20.2,0
2025-04-07T10:00,9.6,0.00,0.00,0.00,9.4,25.9,0
2025-04-07T11:00,11.5,0.00,0.00,0.00,11.0,30.2,0
2025-04-07T12:00,12.6,0.00,0.00,0.00,11.3,32.0,0
2025-04-07T13:00,13.5,0.00,0.00,0.00,11.1,32.0,0
2025-04-07T14:00,14.9,0.00,0.00,0.00,10.8,31.3,0
2025-04-07T15:00,15.1,0.00,0.00,0.00,11.0,32.0,0
2025-04-07T16:00,14.9,0.00,0.00,0.00,10.8,31.7,0
2025-04-07T17:00,14.3,0.00,0.00,0.00,10.8,31.0,0
2025-04-07T18:00,13.4,0.00,0.00,0.00,11.1,30.2,0
2025-04-07T19:00,12.1,0.00,0.00,0.00,11.8,29.9,0
2025-04-07T20:00,10.6,0.00,0.00,0.00,11.2,28.8,0
2025-04-07T21:00,9.6,0.00,0.00,0.00,10.0,26.3,0
2025-04-07T22:00,8.8,0.00,0.00,0.00,8.9,23.0,0
2025-04-07T23:00,8.1,0.00,0.00,0.00,8.6,22.0,0
2025-04-08T00:00,7.5,0.00,0.00,0.00,7.9,19.4,0
2025-04-08T01:00,7.0,0.00,0.00,0.00,6.9,16.6,0
2025-04-08T02:00,6.2,0.00,0.00,0.00,6.5,12.6,0
2025-04-08T03:00,5.7,0.00,0.00,0.00,7.5,14.8,0
2025-04-08T04:00,5.1,0.00,0.00,0.00,8.7,17.6,0
2025-04-08T05:00,4.7,0.00,0.00,0.00,8.2,18.0,0
2025-04-08T06:00,4.3,0.00,0.00,0.00,6.6,16.6,0
2025-04-08T07:00,4.2,0.00,0.00,0.00,7.4,14.4,0
2025-04-08T08:00,5.3,0.00,0.00,0.00,5.8,15.1,0
2025-04-08T09:00,7.3,0.00,0.00,0.00,5.4,16.2,0
2025-04-08T10:00,9.7,0.00,0.00,0.00,5.9,19.1,11
2025-04-08T11:00,11.9,0.00,0.00,0.00,6.3,20.9,95
2025-04-08T12:00,13.4,0.00,0.00,0.00,8.5,25.9,98
2025-04-08T13:00,14.5,0.00,0.00,0.00,8.0,25.9,98
2025-04-08T14:00,15.8,0.00,0.00,0.00,8.4,26.3,100
2025-04-08T15:00,16.1,0.00,0.00,0.00,8.2,26.3,100
2025-04-08T16:00,16.0,0.00,0.00,0.00,8.7,25.9,100
2025-04-08T17:00,15.4,0.00,0.00,0.00,10.2,28.1,100
2025-04-08T18:00,14.6,0.00,0.00,0.00,11.1,28.8,100
2025-04-08T19:00,13.4,0.00,0.00,0.00,11.5,28.8,7
2025-04-08T20:00,12.0,0.00,0.00,0.00,10.3,27.7,0
2025-04-08T21:00,10.7,0.00,0.00,0.00,10.1,25.2,0
2025-04-08T22:00,9.6,0.00,0.00,0.00,9.0,25.2,0
2025-04-08T23:00,8.9,0.00,0.00,0.00,7.8,22.3,0
2025-04-09T00:00,8.2,0.00,0.00,0.00,7.1,18.4,0
2025-04-09T01:00,7.4,0.00,0.00,0.00,7.7,16.9,0
2025-04-09T02:00,6.6,0.00,0.00,0.00,7.1,16.2,0
2025-04-09T03:00,6.0,0.00,0.00,0.00,7.3,15.5,0
2025-04-09T04:00,5.3,0.00,0.00,0.00,7.9,16.6,0
2025-04-09T05:00,4.7,0.00,0.00,0.00,7.8,16.9,0
2025-04-09T06:00,4.2,0.00,0.00,0.00,7.9,16.2,0
2025-04-09T07:00,4.0,0.00,0.00,0.00,8.4,18.0,0
2025-04-09T08:00,4.9,0.00,0.00,0.00,7.0,17.6,0
2025-04-09T09:00,6.6,0.00,0.00,0.00,8.5,22.7,32
2025-04-09T10:00,8.4,0.00,0.00,0.00,10.1,27.7,23
2025-04-09T11:00,10.0,0.00,0.00,0.00,12.0,32.8,45
2025-04-09T12:00,11.4,0.00,0.00,0.00,12.6,34.6,58
2025-04-09T13:00,12.7,0.00,0.00,0.00,13.8,37.4,59
2025-04-09T14:00,12.2,0.00,0.00,0.00,13.4,38.5,95
2025-04-09T15:00,13.2,0.00,0.00,0.00,11.2,35.6,21
2025-04-09T16:00,13.6,0.00,0.00,0.00,11.8,32.8,25
2025-04-09T17:00,13.5,0.00,0.00,0.00,11.8,32.8,17
2025-04-09T18:00,13.3,0.00,0.00,0.00,12.2,31.7,7
2025-04-09T19:00,12.5,0.00,0.00,0.00,12.7,31.3,12
2025-04-09T20:00,11.6,0.00,0.00,0.00,12.4,30.2,100
2025-04-09T21:00,10.6,0.00,0.00,0.00,11.6,29.5,40
2025-04-09T22:00,9.4,0.00,0.00,0.00,11.5,28.1,9
2025-04-09T23:00,8.1,0.00,0.00,0.00,12.0,29.2,3
2025-04-10T00:00,7.1,0.00,0.00,0.00,10.4,28.4,7
2025-04-10T01:00,6.5,0.00,0.00,0.00,9.4,24.1,25
2025-04-10T02:00,6.0,0.00,0.00,0.00,8.0,19.4,24
2025-04-10T03:00,5.7,0.00,0.00,0.00,7.5,17.3,44
2025-04-10T04:00,5.6,0.00,0.00,0.00,7.2,15.8,59
2025-04-10T05:00,5.8,0.00,0.00,0.00,6.5,15.5,38
2025-04-10T06:00,5.5,0.00,0.00,0.00,6.2,13.3,4
2025-04-10T07:00,5.5,0.00,0.00,0.00,6.3,12.2,4
2025-04-10T08:00,6.6,0.00,0.00,0.00,4.9,12.6,3
2025-04-10T09:00,8.5,0.00,0.00,0.00,6.8,18.4,16
2025-04-10T10:00,10.2,0.00,0.00,0.00,8.4,24.8,52
2025-04-10T11:00,11.4,0.00,0.00,0.00,5.9,23.8,33
2025-04-10T12:00,12.7,0.00,0.00,0.00,5.3,20.2,39
2025-04-10T13:00,14.1,0.00,0.00,0.00,4.2,19.8,31
2025-04-10T14:00,13.8,0.00,0.00,0.00,3.8,18.7,21
2025-04-10T15:00,15.0,0.00,0.00,0.00,3.3,17.6,8
2025-04-10T16:00,15.8,0.00,0.00,0.00,3.6,16.9,0
2025-04-10T17:00,16.1,0.00,0.00,0.00,3.0,16.6,0
2025-04-10T18:00,16.0,0.00,0.00,0.00,2.4,14.4,0
2025-04-10T19:00,15.5,0.00,0.00,0.00,2.3,11.9,0
2025-04-10T20:00,14.9,0.00,0.00,0.00,3.5,9.4,0
2025-04-10T21:00,14.0,0.00,0.00,0.00,3.6,9.4,0
2025-04-10T22:00,13.1,0.00,0.00,0.00,2.8,8.3,0
2025-04-10T23:00,12.3,0.00,0.00,0.00,2.7,6.1,0
2025-04-11T00:00,11.3,0.00,0.00,0.00,3.8,7.9,0
2025-04-11T01:00,10.3,0.00,0.00,0.00,5.2,11.2,0
2025-04-11T02:00,9.0,0.00,0.00,0.00,6.0,13.0,0
2025-04-11T03:00,8.1,0.00,0.00,0.00,6.2,12.2,0
2025-04-11T04:00,7.5,0.00,0.00,0.00,6.3,12.2,0
2025-04-11T05:00,7.0,0.00,0.00,0.00,6.3,12.2,0
2025-04-11T06:00,6.7,0.00,0.00,0.00,6.3,11.9,0
2025-04-11T07:00,6.5,0.00,0.00,0.00,6.5,12.2,5
2025-04-11T08:00,7.7,0.00,0.00,0.00,4.3,13.0,43
2025-04-11T09:00,9.8,0.00,0.00,0.00,3.6,13.0,0
2025-04-11T10:00,12.4,0.00,0.00,0.00,3.1,13.7,0
2025-04-11T11:00,14.9,0.00,0.00,0.00,3.4,14.8,0
2025-04-11T12:00,17.2,0.00,0.00,0.00,3.1,15.1,0
2025-04-11T13:00,19.0,0.00,0.00,0.00,2.5,14.8,0
2025-04-11T14:00,21.2,0.00,0.00,0.00,2.4,14.8,0
2025-04-11T15:00,22.1,0.00,0.00,0.00,1.9,14.0,0
2025-04-11T16:00,22.6,0.00,0.00,0.00,2.2,13.0,0
2025-04-11T17:00,22.7,0.00,0.00,0.00,4.0,15.5,0
2025-04-11T18:00,22.0,0.00,0.00,0.00,7.7,21.6,0
2025-04-11T19:00,20.7,0.00,0.00,0.00,10.4,25.6,0
2025-04-11T20:00,19.3,0.00,0.00,0.00,9.9,25.2,0
2025-04-11T21:00,17.6,0.00,0.00,0.00,8.8,24.1,0
2025-04-11T22:00,16.2,0.00,0.00,0.00,6.3,20.9,0
2025-04-11T23:00,15.2,0.00,0.00,0.00,5.3,14.0,0
2025-04-12T00:00,14.2,0.00,0.00,0.00,6.3,13.3,0
2025-04-12T01:00,13.1,0.00,0.00,0.00,6.3,13.3,0
2025-04-12T02:00,11.5,0.00,0.00,0.00,6.3,13.3,0
2025-04-12T03:00,10.6,0.00,0.00,0.00,7.2,14.4,0
2025-04-12T04:00,9.7,0.00,0.00,0.00,7.6,15.1,0
2025-04-12T05:00,9.0,0.00,0.00,0.00,8.1,16.2,0
2025-04-12T06:00,8.3,0.00,0.00,0.00,8.7,18.0,0
2025-04-12T07:00,8.1,0.00,0.00,0.00,9.1,19.4,67
2025-04-12T08:00,9.2,0.00,0.00,0.00,7.9,20.2,16
2025-04-12T09:00,11.3,0.00,0.00,0.00,7.2,20.9,100
2025-04-12T10:00,13.9,0.00,0.00,0.00,6.9,20.9,43
2025-04-12T11:00,16.6,0.00,0.00,0.00,8.1,24.5,96
2025-04-12T12:00,18.5,0.00,0.00,0.00,9.1,27.4,100
2025-04-12T13:00,20.0,0.00,0.00,0.00,10.0,29.2,100
2025-04-12T14:00,21.9,0.00,0.00,0.00,10.6,30.6,100
2025-04-12T15:00,22.3,0.00,0.00,0.00,11.6,32.0,100
2025-04-12T16:00,22.2,0.00,0.00,0.00,12.5,33.8,100
2025-04-12T17:00,21.6,0.00,0.00,0.00,10.6,33.5,100
2025-04-12T18:00,21.1,0.00,0.00,0.00,9.1,27.7,100
2025-04-12T19:00,19.9,0.00,0.00,0.00,9.5,23.8,100
2025-04-12T20:00,18.7,0.00,0.00,0.00,9.6,23.0,100
2025-04-12T21:00,17.5,0.00,0.00,0.00,9.0,22.7,100
2025-04-12T22:00,16.2,0.00,0.00,0.00,9.9,22.3,100
2025-04-12T23:00,15.3,0.00,0.00,0.00,8.7,23.8,100
2025-04-13T00:00,14.9,0.00,0.00,0.00,8.8,20.9,100
2025-04-13T01:00,14.4,0.00,0.00,0.00,9.8,22.0,100
2025-04-13T02:00,14.6,0.00,0.00,0.00,9.5,20.9,100
2025-04-13T03:00,14.3,0.10,0.10,0.00,9.8,23.4,73
2025-04-13T04:00,13.6,0.00,0.00,0.00,9.1,23.0,63
2025-04-13T05:00,13.0,0.00,0.00,0.00,9.2,20.9,63
2025-04-13T06:00,12.0,0.00,0.00,0.00,10.9,24.5,27
2025-04-13T07:00,11.1,0.00,0.00,0.00,10.9,26.3,19
2025-04-13T08:00,11.3,0.00,0.00,0.00,11.2,27.7,27
2025-04-13T09:00,12.1,0.00,0.00,0.00,10.6,28.4,10
2025-04-13T10:00,13.3,0.00,0.00,0.00,10.2,28.8,2
2025-04-13T11:00,14.5,0.00,0.00,0.00,10.9,31.0,19
2025-04-13T12:00,16.3,0.00,0.00,0.00,14.2,37.4,69
2025-04-13T13:00,16.4,0.00,0.00,0.00,15.7,41.4,76
2025-04-13T14:00,16.6,0.00,0.00,0.00,14.8,38.9,59
2025-04-13T15:00,15.9,0.10,0.10,0.00,16.6,41.4,93
2025-04-13T16:00,14.7,0.10,0.10,0.00,13.9,42.1,97
2025-04-13T17:00,15.3,0.00,0.00,0.00,11.2,36.7,100
2025-04-13T18:00,14.9,0.00,0.00,0.00,14.8,35.3,100
2025-04-13T19:00,14.2,0.00,0.00,0.00,13.9,36.4,98
2025-04-13T20:00,13.2,0.00,0.00,0.00,13.2,33.5,100
2025-04-13T21:00,12.3,0.00,0.00,0.00,10.1,31.3,100
2025-04-13T22:00,11.8,0.00,0.00,0.00,7.0,24.1,90
2025-04-13T23:00,11.2,0.00,0.00,0.00,8.6,19.8,91
2025-04-14T00:00,10.4,0.00,0.00,0.00,8.9,22.0,5
2025-04-14T01:00,9.6,0.00,0.00,0.00,8.4,20.5,1
2025-04-14T02:00,8.5,0.00,0.00,0.00,8.8,19.1,1
2025-04-14T03:00,7.8,0.00,0.00,0.00,7.3,18.7,1
2025-04-14T04:00,7.3,0.00,0.00,0.00,7.4,14.8,2
2025-04-14T05:00,6.9,0.00,0.00,0.00,7.7,15.8,0
2025-04-14T06:00,6.5,0.00,0.00,0.00,7.5,15.1,0
2025-04-14T07:00,6.7,0.00,0.00,0.00,7.4,14.8,3
2025-04-14T08:00,8.2,0.00,0.00,0.00,5.9,15.1,2
2025-04-14T09:00,10.3,0.00,0.00,0.00,7.6,21.2,68
2025-04-14T10:00,12.4,0.00,0.00,0.00,13.3,33.1,100
2025-04-14T11:00,13.2,0.00,0.00,0.00,15.6,38.9,100
2025-04-14T12:00,13.4,0.00,0.00,0.00,17.4,42.8,100
2025-04-14T13:00,13.8,0.10,0.10,0.00,17.6,43.2,100
2025-04-14T14:00,15.0,0.00,0.00,0.00,16.6,42.1,100
2025-04-14T15:00,15.2,0.00,0.00,0.00,15.6,41.4,100
2025-04-14T16:00,14.6,0.00,0.00,0.00,17.1,42.8,100
2025-04-14T17:00,14.6,0.00,0.00,0.00,12.5,41.4,100
2025-04-14T18:00,14.5,0.00,0.00,0.00,12.1,31.3,99
2025-04-14T19:00,13.9,0.00,0.00,0.00,9.9,29.9,91
2025-04-14T20:00,13.4,0.00,0.00,0.00,8.0,23.8,100
